1,urn:ucode:_00001C000000000000010000030D16E4,odpt.TrainTimetable:TokyoMetro.Chiyoda.A0401K.SaturdaysHolidays,"2014-10-24 12:56:36.000000",A0401K,6,1,16,,15,3,2,219,93,,,,"2015-01-29 04:51:38.490543","2015-01-29 04:51:38.490543"
2,urn:ucode:_00001C000000000000010000030D16E1,odpt.TrainTimetable:TokyoMetro.Chiyoda.A0403K.SaturdaysHolidays,"2014-10-24 12:56:36.000000",A0403K,6,1,16,,15,3,2,211,110,,,,"2015-01-29 04:51:38.675548","2015-01-29 04:51:38.675548"
3,urn:ucode:_00001C000000000000010000030D16E2,odpt.TrainTimetable:TokyoMetro.Chiyoda.A0411K.SaturdaysHolidays,"2014-10-24 12:56:36.000000",A0411K,6,1,16,,15,3,2,219,93,,,,"2015-01-29 04:51:38.840553","2015-01-29 04:51:38.840553"
4,urn:ucode:_00001C000000000000010000030D16E8,odpt.TrainTimetable:TokyoMetro.Chiyoda.A0503K.SaturdaysHolidays,"2014-10-24 12:56:36.000000",A0503K,6,1,16,,15,3,2,219,93,,,,"2015-01-29 04:51:39.016559","2015-01-29 04:51:39.016559"
5,urn:ucode:_00001C000000000000010000030D16E6,odpt.TrainTimetable:TokyoMetro.Chiyoda.A0505K.SaturdaysHolidays,"2014-10-24 12:56:36.000000",A0505K,6,1,16,,15,3,2,219,93,,,,"2015-01-29 04:51:39.206564","2015-01-29 04:51:39.206564"
6,urn:ucode:_00001C000000000000010000030D16E7,odpt.TrainTimetable:TokyoMetro.Chiyoda.A0507K.SaturdaysHolidays,"2014-10-24 12:56:36.000000",A0507K,6,1,16,,15,3,2,211,93,,,,"2015-01-29 04:51:39.397570","2015-01-29 04:51:39.397570"
7,urn:ucode:_00001C000000000000010000030D16EA,odpt.TrainTimetable:TokyoMetro.Chiyoda.A0513K.SaturdaysHolidays,"2014-10-24 12:56:36.000000",A0513K,6,1,16,,15,3,2,219,93,,,,"2015-01-29 04:51:39.581576","2015-01-29 04:51:39.581576"
8,urn:ucode:_00001C000000000000010000030D16E3,odpt.TrainTimetable:TokyoMetro.Chiyoda.A0537S.SaturdaysHolidays,"2014-10-24 12:56:36.000000",A0537S,6,1,16,,15,1,2,111,93,,,,"2015-01-29 04:51:39.763581","2015-01-29 04:51:39.763581"
9,urn:ucode:_00001C000000000000010000030D16E5,odpt.TrainTimetable:TokyoMetro.Chiyoda.A0539S.SaturdaysHolidays,"2014-10-24 12:56:36.000000",A0539S,6,1,16,,15,1,2,111,93,,,,"2015-01-29 04:51:39.998589","2015-01-29 04:51:39.998589"
10,urn:ucode:_00001C000000000000010000030D167A,odpt.TrainTimetable:TokyoMetro.Chiyoda.A0596S1.SaturdaysHolidays,"2014-10-24 12:56:35.000000",A0596S1,7,1,17,,18,1,2,113,112,,,,"2015-01-29 04:51:40.178594","2015-01-29 04:51:40.178594"
