1,49,odpt.Station:Tokyu.Toyoko.NakaMeguro,"2015-01-29 02:07:37.417399","2015-01-29 02:07:37.417399"
2,69,odpt.Station:Tobu.Isesaki.KitaSenju,"2015-01-29 02:07:43.607588","2015-01-29 02:07:43.607588"
3,70,odpt.StationFacility:JR-East.Nakano,"2015-01-29 02:07:44.333610","2015-01-29 02:07:44.333610"
4,92,odpt.Station:JR-East.ChuoChikatetsuTozai.NishiFunabashi,"2015-01-29 02:07:56.594984","2015-01-29 02:07:56.594984"
5,92,odpt.Station:ToyoRapidRailway.ToyoRapid.NishiFunabashi,"2015-01-29 02:07:56.717988","2015-01-29 02:07:56.717988"
6,93,odpt.Station:Odakyu.Odawara.YoyogiUehara,"2015-01-29 02:07:57.387008","2015-01-29 02:07:57.387008"
7,110,odpt.Station:JR-East.KitaSenju,"2015-01-29 02:08:04.010210","2015-01-29 02:08:04.010210"
8,111,odpt.Station:JR-East.Ayase,"2015-01-29 02:08:04.904237","2015-01-29 02:08:04.904237"
9,112,odpt.Station:TokyoMetro.Chiyoda.Ayase,"2015-01-29 02:08:05.344251","2015-01-29 02:08:05.344251"
10,112,odpt.Station:JR-East.Ayase,"2015-01-29 02:08:05.490255","2015-01-29 02:08:05.490255"
11,113,odpt.Station:TokyoMetro.Chiyoda.KitaAyase,"2015-01-29 02:08:06.079273","2015-01-29 02:08:06.079273"
12,114,odpt.Station:TokyoMetro.Fukutoshin.Wakoshi,"2015-01-29 02:08:06.477285","2015-01-29 02:08:06.477285"
13,114,odpt.Station:Tobu.Tojo.Wakoshi,"2015-01-29 02:08:06.594289","2015-01-29 02:08:06.594289"
14,115,odpt.Station:TokyoMetro.Fukutoshin.ChikatetsuNarimasu,"2015-01-29 02:08:08.503347","2015-01-29 02:08:08.503347"
15,116,odpt.Station:TokyoMetro.Fukutoshin.ChikatetsuAkatsuka,"2015-01-29 02:08:09.162367","2015-01-29 02:08:09.162367"
16,117,odpt.Station:TokyoMetro.Fukutoshin.Heiwadai,"2015-01-29 02:08:09.845388","2015-01-29 02:08:09.845388"
17,118,odpt.Station:TokyoMetro.Fukutoshin.Hikawadai,"2015-01-29 02:08:10.594411","2015-01-29 02:08:10.594411"
18,119,odpt.Station:TokyoMetro.Fukutoshin.KotakeMukaihara,"2015-01-29 02:08:11.256431","2015-01-29 02:08:11.256431"
19,119,odpt.Station:Seibu.Yurakucho.KotekeMukaihara,"2015-01-29 02:08:11.371435","2015-01-29 02:08:11.371435"
20,120,odpt.Station:TokyoMetro.Fukutoshin.Senkawa,"2015-01-29 02:08:12.355465","2015-01-29 02:08:12.355465"
21,121,odpt.Station:TokyoMetro.Fukutoshin.Kanamecho,"2015-01-29 02:08:12.871480","2015-01-29 02:08:12.871480"
22,122,odpt.Station:TokyoMetro.Fukutoshin.Ikebukuro,"2015-01-29 02:08:13.488499","2015-01-29 02:08:13.488499"
23,138,odpt.Station:Tokyu.DenEnToshi.Shibuya,"2015-01-29 02:08:18.557654","2015-01-29 02:08:18.557654"
24,143,odpt.Station:Toei.Shinjuku.Kudanshita,"2015-01-29 02:08:20.840723","2015-01-29 02:08:20.840723"
25,151,odpt.Station:Tobu.Isesaki.Oshiage,"2015-01-29 02:08:23.635809","2015-01-29 02:08:23.635809"
26,152,odpt.Station:Toei.Mita.Meguro,"2015-01-29 02:08:24.083822","2015-01-29 02:08:24.083822"
27,152,odpt.Station:Tokyu.Meguro.Meguro,"2015-01-29 02:08:24.215826","2015-01-29 02:08:24.215826"
28,153,odpt.Station:Toei.Mita.Shirokanedai,"2015-01-29 02:08:25.495865","2015-01-29 02:08:25.495865"
29,154,odpt.Station:Toei.Mita.ShirokaneTakanawa,"2015-01-29 02:08:26.155885","2015-01-29 02:08:26.155885"
30,170,odpt.Station:SaitamaRailway.SaitamaRailway.AkabaneIwabuchi,"2015-01-29 02:08:31.263041","2015-01-29 02:08:31.263041"
31,171,odpt.Station:TokyoMetro.Yurakucho.Wakoshi,"2015-01-29 02:08:31.714055","2015-01-29 02:08:31.714055"
32,171,odpt.Station:Tobu.Tojo.Wakoshi,"2015-01-29 02:08:31.830059","2015-01-29 02:08:31.830059"
33,172,odpt.Station:TokyoMetro.Yurakucho.ChikatetsuNarimasu,"2015-01-29 02:08:33.036095","2015-01-29 02:08:33.036095"
34,173,odpt.Station:TokyoMetro.Yurakucho.ChikatetsuAkatsuka,"2015-01-29 02:08:33.684115","2015-01-29 02:08:33.684115"
35,174,odpt.Station:TokyoMetro.Yurakucho.Heiwadai,"2015-01-29 02:08:34.368136","2015-01-29 02:08:34.368136"
36,175,odpt.Station:TokyoMetro.Yurakucho.Hikawadai,"2015-01-29 02:08:35.081158","2015-01-29 02:08:35.081158"
37,176,odpt.Station:TokyoMetro.Yurakucho.KotakeMukaihara,"2015-01-29 02:08:35.742178","2015-01-29 02:08:35.742178"
38,176,odpt.Station:Seibu.Yurakucho.KotekeMukaihara,"2015-01-29 02:08:36.058187","2015-01-29 02:08:36.058187"
39,177,odpt.Station:TokyoMetro.Yurakucho.Senkawa,"2015-01-29 02:08:37.019217","2015-01-29 02:08:37.019217"
40,178,odpt.Station:TokyoMetro.Yurakucho.Kanamecho,"2015-01-29 02:08:37.536233","2015-01-29 02:08:37.536233"
